"ID","subset_ind","x_1_star","x_1_starstar","z_1","z_2","z_3","z_4","t","y"
1,1,-0.121759210316274,7.66171089984637,4.16805700137374,-12.3855530356105,0,0,1,0
1,1,-0.121759210316274,7.66171089984637,4.16805700137374,-12.3855530356105,0,0,2,0
1,1,-0.121759210316274,7.66171089984637,4.16805700137374,-12.3855530356105,0,0,3,1
2,1,0.0226667873977979,7.5761491471184,1.87336017831802,-7.02234766092951,1,0,1,0
2,1,0.0226667873977979,7.5761491471184,1.87336017831802,-7.02234766092951,1,0,2,0
2,1,0.0226667873977979,7.5761491471184,1.87336017831802,-7.02234766092951,1,0,3,0
2,1,0.0226667873977979,7.5761491471184,1.87336017831802,-7.02234766092951,1,0,4,1
3,1,0.160113974055689,7.6297922495539,11.5862277405253,-8.43135325835599,0,0,1,0
3,1,0.160113974055689,7.6297922495539,11.5862277405253,-8.43135325835599,0,0,2,1
4,1,-0.089363306851738,7.71165425339105,5.37681142003653,-7.5419784511949,0,0,1,0
4,1,-0.089363306851738,7.71165425339105,5.37681142003653,-7.5419784511949,0,0,2,1
5,1,0.500339432775493,7.53909285559727,-1.89448486323307,-5.38634321613774,0,0,1,0
5,1,0.500339432775493,7.53909285559727,-1.89448486323307,-5.38634321613774,0,0,2,0
5,1,0.500339432775493,7.53909285559727,-1.89448486323307,-5.38634321613774,0,0,3,1
6,1,0.388551279639296,7.6088176425496,11.9985290344331,-8.32829598244418,1,0,1,0
6,1,0.388551279639296,7.6088176425496,11.9985290344331,-8.32829598244418,1,0,2,0
6,1,0.388551279639296,7.6088176425496,11.9985290344331,-8.32829598244418,1,0,3,1
7,1,-0.20505382016383,7.69716905568691,1.8294414366614,-5.3144219328234,0,0,1,0
7,1,-0.20505382016383,7.69716905568691,1.8294414366614,-5.3144219328234,0,0,2,0
7,1,-0.20505382016383,7.69716905568691,1.8294414366614,-5.3144219328234,0,0,3,1
8,1,-0.115616743200708,7.27123368218233,-12.6838894709329,-4.67667569466476,0,0,1,0
8,1,-0.115616743200708,7.27123368218233,-12.6838894709329,-4.67667569466476,0,0,2,0
8,1,-0.115616743200708,7.27123368218233,-12.6838894709329,-4.67667569466476,0,0,3,0
8,1,-0.115616743200708,7.27123368218233,-12.6838894709329,-4.67667569466476,0,0,4,0
9,1,-0.401363705432772,7.53459460928923,-6.49754267355083,-10.7502419913212,0,0,1,0
9,1,-0.401363705432772,7.53459460928923,-6.49754267355083,-10.7502419913212,0,0,2,1
10,1,0.0146948157063386,7.45086175905615,-3.21962970070184,-4.3276163982198,0,0,1,1
11,1,-1.01882351575292,7.59240217871159,10.6832722821378,-7.69285188486261,0,0,1,0
11,1,-1.01882351575292,7.59240217871159,10.6832722821378,-7.69285188486261,0,0,2,1
12,1,0.0103113461350087,7.66420271448464,6.89162570699547,-9.16422498260801,1,0,1,0
12,1,0.0103113461350087,7.66420271448464,6.89162570699547,-9.16422498260801,1,0,2,0
12,1,0.0103113461350087,7.66420271448464,6.89162570699547,-9.16422498260801,1,0,3,0
12,1,0.0103113461350087,7.66420271448464,6.89162570699547,-9.16422498260801,1,0,4,0
13,1,-0.0435011697776075,7.68702099431257,-7.28818092244111,-11.0438662938196,0,0,1,0
13,1,-0.0435011697776075,7.68702099431257,-7.28818092244111,-11.0438662938196,0,0,2,0
13,1,-0.0435011697776075,7.68702099431257,-7.28818092244111,-11.0438662938196,0,0,3,0
13,1,-0.0435011697776075,7.68702099431257,-7.28818092244111,-11.0438662938196,0,0,4,1
14,1,-0.598382952741022,7.38947963942849,-0.443516665625887,-5.98955244331058,0,0,1,1
15,1,-0.172886675133403,7.54475676782548,0.142623897495481,-2.54899719433843,1,1,1,0
15,1,-0.172886675133403,7.54475676782548,0.142623897495481,-2.54899719433843,1,1,2,0
15,1,-0.172886675133403,7.54475676782548,0.142623897495481,-2.54899719433843,1,1,3,0
15,1,-0.172886675133403,7.54475676782548,0.142623897495481,-2.54899719433843,1,1,4,0
16,1,-0.550112890604479,7.37117098780302,-11.0227995130892,1.62778578701309,1,0,1,1
17,1,-0.0326235056612924,7.83638684578444,7.37910260821361,-11.8372348231409,0,0,1,0
17,1,-0.0326235056612924,7.83638684578444,7.37910260821361,-11.8372348231409,0,0,2,0
17,1,-0.0326235056612924,7.83638684578444,7.37910260821361,-11.8372348231409,0,0,3,0
17,1,-0.0326235056612924,7.83638684578444,7.37910260821361,-11.8372348231409,0,0,4,0
18,1,0.295858801252285,7.60075748673277,1.20287786339235,-5.54669568396273,0,0,1,0
18,1,0.295858801252285,7.60075748673277,1.20287786339235,-5.54669568396273,0,0,2,0
18,1,0.295858801252285,7.60075748673277,1.20287786339235,-5.54669568396273,0,0,3,0
18,1,0.295858801252285,7.60075748673277,1.20287786339235,-5.54669568396273,0,0,4,0
19,1,0.0533600350257538,7.4949120543448,3.96798113501008,-6.76123486984922,0,0,1,0
19,1,0.0533600350257538,7.4949120543448,3.96798113501008,-6.76123486984922,0,0,2,0
19,1,0.0533600350257538,7.4949120543448,3.96798113501008,-6.76123486984922,0,0,3,0
19,1,0.0533600350257538,7.4949120543448,3.96798113501008,-6.76123486984922,0,0,4,0
20,1,-0.785498262431471,7.61368987494796,5.90307296944428,-5.08634606483668,0,0,1,0
20,1,-0.785498262431471,7.61368987494796,5.90307296944428,-5.08634606483668,0,0,2,1
21,1,0.404197754054782,7.42671873222412,1.63177242353789,-9.29659096837426,0,0,1,0
21,1,0.404197754054782,7.42671873222412,1.63177242353789,-9.29659096837426,0,0,2,1
22,1,0.694058966482667,7.66967818798582,-5.19181944894125,-6.10776563821802,0,0,1,0
22,1,0.694058966482667,7.66967818798582,-5.19181944894125,-6.10776563821802,0,0,2,0
22,1,0.694058966482667,7.66967818798582,-5.19181944894125,-6.10776563821802,0,0,3,0
22,1,0.694058966482667,7.66967818798582,-5.19181944894125,-6.10776563821802,0,0,4,0
23,1,-0.0336148547610413,7.47976254514604,-9.90776838062821,-2.86175513586495,0,1,1,0
23,1,-0.0336148547610413,7.47976254514604,-9.90776838062821,-2.86175513586495,0,1,2,0
23,1,-0.0336148547610413,7.47976254514604,-9.90776838062821,-2.86175513586495,0,1,3,0
23,1,-0.0336148547610413,7.47976254514604,-9.90776838062821,-2.86175513586495,0,1,4,1
24,1,0.822231838539546,7.68776824271469,-8.98581224627211,-5.65376579014183,1,0,1,0
24,1,0.822231838539546,7.68776824271469,-8.98581224627211,-5.65376579014183,1,0,2,0
24,1,0.822231838539546,7.68776824271469,-8.98581224627211,-5.65376579014183,1,0,3,0
24,1,0.822231838539546,7.68776824271469,-8.98581224627211,-5.65376579014183,1,0,4,0
25,1,-0.109083048985212,7.32342148970008,0.332304205591664,-6.06940866081776,0,0,1,0
25,1,-0.109083048985212,7.32342148970008,0.332304205591664,-6.06940866081776,0,0,2,0
25,1,-0.109083048985212,7.32342148970008,0.332304205591664,-6.06940866081776,0,0,3,1
26,1,0.306758297071564,7.6710973053675,2.75335185622504,-7.73950304925458,0,0,1,0
26,1,0.306758297071564,7.6710973053675,2.75335185622504,-7.73950304925458,0,0,2,0
26,1,0.306758297071564,7.6710973053675,2.75335185622504,-7.73950304925458,0,0,3,0
